Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/ZA/02","GOUGH ISLAND (ATLANTIC O.)","ZA","6890600","-40.35","-9.88","54","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196001","Water - Precipitation - unspecified (not reported)","1960-01-15","1960-01-01","1960-01-31","","","","","","","","","244","14.5","13.3"
"GNIP","GNIP/M/ZA/02","GOUGH ISLAND (ATLANTIC O.)","ZA","6890600","-40.35","-9.88","54","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196002","Water - Precipitation - unspecified (not reported)","1960-02-15","1960-02-01","1960-02-29","","","","","","","","","182","14.7","13"
"GNIP","GNIP/M/ZA/02","GOUGH ISLAND (ATLANTIC O.)","ZA","6890600","-40.35","-9.88","54","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196003","Water - Precipitation - unspecified (not reported)","1960-03-15","1960-03-01","1960-03-31","","","","","","","","","247","12.4","11.2"
"GNIP","GNIP/M/ZA/02","GOUGH ISLAND (ATLANTIC O.)","ZA","6890600","-40.35","-9.88","54","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196004","Water - Precipitation - unspecified (not reported)","1960-04-15","1960-04-01","1960-04-30","","","","","","","","","233","14","13.2"
"GNIP","GNIP/M/ZA/02","GOUGH ISLAND (ATLANTIC O.)","ZA","6890600","-40.35","-9.88","54","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196005","Water - Precipitation - unspecified (not reported)","1960-05-15","1960-05-01","1960-05-31","","","","","","","","","208","13.3","12.5"
"GNIP","GNIP/M/ZA/02","GOUGH ISLAND (ATLANTIC O.)","ZA","6890600","-40.35","-9.88","54","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196006","Water - Precipitation - unspecified (not reported)","1960-06-15","1960-06-01","1960-06-30","","","","","","","","","440","10.7","10.5"
"GNIP","GNIP/M/ZA/02","GOUGH ISLAND (ATLANTIC O.)","ZA","6890600","-40.35","-9.88","54","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196007","Water - Precipitation - unspecified (not reported)","1960-07-15","1960-07-01","1960-07-31","","","","","","","","","234","9.7","9.7"
"GNIP","GNIP/M/ZA/02","GOUGH ISLAND (ATLANTIC O.)","ZA","6890600","-40.35","-9.88","54","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196008","Water - Precipitation - unspecified (not reported)","1960-08-15","1960-08-01","1960-08-31","","","","","","","","","290","9.7","9.5"
"GNIP","GNIP/M/ZA/02","GOUGH ISLAND (ATLANTIC O.)","ZA","6890600","-40.35","-9.88","54","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196009","Water - Precipitation - unspecified (not reported)","1960-09-15","1960-09-01","1960-09-30","","","","","","","","","304","10","9.8"
"GNIP","GNIP/M/ZA/02","GOUGH ISLAND (ATLANTIC O.)","ZA","6890600","-40.35","-9.88","54","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196010","Water - Precipitation - unspecified (not reported)","1960-10-15","1960-10-01","1960-10-31","","","","","","","","","286","9.7","9.3"
