Group,Project,Site,Country,WMO Code,Latitude,Longitude,Altitude,Type of Site,Source of Information,Sample Name,Media Type,Date,Begin of Period,End of Period,Comment,O18,O18 Provider,H2,H2 Provider,H3,H3 Error,H3 Provider,Precipitation,Air Temperature,Vapour Pressure
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196101","Water - Precipitation - unspecified (not reported)","1961-01-15","1961-01-01","1961-01-31","","","","","","","","","180","6.6","8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196102","Water - Precipitation - unspecified (not reported)","1961-02-15","1961-02-01","1961-02-28","","","","","","","","","210","6.8","7.9"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196103","Water - Precipitation - unspecified (not reported)","1961-03-15","1961-03-01","1961-03-31","","","","","","","","","400","6.8","8.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196104","Water - Precipitation - unspecified (not reported)","1961-04-15","1961-04-01","1961-04-30","","-6.1","University of Copenhagen","-37.2","University of Copenhagen","4","","Radioactive Dating Laboratory","190","5.5","7.3"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196105","Water - Precipitation - unspecified (not reported)","1961-05-15","1961-05-01","1961-05-31","","-5.6","University of Copenhagen","-31.6","University of Copenhagen","5.6","","Radioactive Dating Laboratory","100","3.7","6.8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196106","Water - Precipitation - unspecified (not reported)","1961-06-15","1961-06-01","1961-06-30","","-3.9","University of Copenhagen","-20.5","University of Copenhagen","4.6","","Radioactive Dating Laboratory","460","5","7.4"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196107","Water - Precipitation - unspecified (not reported)","1961-07-15","1961-07-01","1961-07-31","","-3.6","University of Copenhagen","-19.9","University of Copenhagen","4","","Radioactive Dating Laboratory","180","4.1","6.7"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196108","Water - Precipitation - unspecified (not reported)","1961-08-15","1961-08-01","1961-08-31","","-4.1","University of Copenhagen","-34.1","University of Copenhagen","16.3","","Radioactive Dating Laboratory","230","4.6","7.3"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196109","Water - Precipitation - unspecified (not reported)","1961-09-15","1961-09-01","1961-09-30","","-5.8","University of Copenhagen","-34.8","University of Copenhagen","14.1","","Radioactive Dating Laboratory","170","3.9","6.6"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196110","Water - Precipitation - unspecified (not reported)","1961-10-15","1961-10-01","1961-10-31","","-6.3","University of Copenhagen","-34.1","University of Copenhagen","9","","Radioactive Dating Laboratory","180","3.8","6.6"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196111","Water - Precipitation - unspecified (not reported)","1961-11-15","1961-11-01","1961-11-30","","-5.2","University of Copenhagen","-36","University of Copenhagen","8.4","","Radioactive Dating Laboratory","90","5","7"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196112","Water - Precipitation - unspecified (not reported)","1961-12-15","1961-12-01","1961-12-31","","-5","University of Copenhagen","-34.1","University of Copenhagen","7.4","","Radioactive Dating Laboratory","260","6.6","7.8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196201","Water - Precipitation - unspecified (not reported)","1962-01-15","1962-01-01","1962-01-31","","-4.5","University of Copenhagen","-29.8","University of Copenhagen","10.7","","Radioactive Dating Laboratory","270","6.5","8.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196202","Water - Precipitation - unspecified (not reported)","1962-02-15","1962-02-01","1962-02-28","","-5.4","University of Copenhagen","-29.2","University of Copenhagen","7.5","","Radioactive Dating Laboratory","260","7.2","8.5"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196203","Water - Precipitation - unspecified (not reported)","1962-03-15","1962-03-01","1962-03-31","","-4.5","University of Copenhagen","-29.2","University of Copenhagen","7.6","","Radioactive Dating Laboratory","190","6.7","8.1"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196204","Water - Precipitation - unspecified (not reported)","1962-04-15","1962-04-01","1962-04-30","","","","","","","","","210","6.1","7.9"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196205","Water - Precipitation - unspecified (not reported)","1962-05-15","1962-05-01","1962-05-31","","","","","","","","","290","5.1","7.1"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196206","Water - Precipitation - unspecified (not reported)","1962-06-15","1962-06-01","1962-06-30","","-9.1","University of Copenhagen","-64.5","University of Copenhagen","8.7","","Radioactive Dating Laboratory","150","3.4","6.7"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196207","Water - Precipitation - unspecified (not reported)","1962-07-15","1962-07-01","1962-07-31","","-4.8","University of Copenhagen","-38.5","University of Copenhagen","17.5","","Radioactive Dating Laboratory","310","3.5","6.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196208","Water - Precipitation - unspecified (not reported)","1962-08-15","1962-08-01","1962-08-31","","-6.4","University of Copenhagen","-32.9","University of Copenhagen","12.5","","Radioactive Dating Laboratory","180","4.7","7.1"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196209","Water - Precipitation - unspecified (not reported)","1962-09-15","1962-09-01","1962-09-30","","-6.2","University of Copenhagen","-43.4","University of Copenhagen","21.2","","Radioactive Dating Laboratory","194","3.2","6.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196210","Water - Precipitation - unspecified (not reported)","1962-10-15","1962-10-01","1962-10-31","","-5.9","University of Copenhagen","-44","University of Copenhagen","17.5","","Radioactive Dating Laboratory","146","4.7","6.5"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196211","Water - Precipitation - unspecified (not reported)","1962-11-15","1962-11-01","1962-11-30","","-6","University of Copenhagen","-55.8","University of Copenhagen","20.1","","Radioactive Dating Laboratory","207","5.6","7.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196212","Water - Precipitation - unspecified (not reported)","1962-12-15","1962-12-01","1962-12-31","","-4.1","University of Copenhagen","-30.4","University of Copenhagen","16.8","","Radioactive Dating Laboratory","210","6","7.5"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196301","Water - Precipitation - unspecified (not reported)","1963-01-15","1963-01-01","1963-01-31","","-5.9","University of Copenhagen","-41.6","University of Copenhagen","19","","Radioactive Dating Laboratory","263","7.2","8.5"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196302","Water - Precipitation - unspecified (not reported)","1963-02-15","1963-02-01","1963-02-28","","-3.9","University of Copenhagen","-25.5","University of Copenhagen","20","","Radioactive Dating Laboratory","251","8.4","9.6"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196303","Water - Precipitation - unspecified (not reported)","1963-03-15","1963-03-01","1963-03-31","","","","","","","","","140","7.7","7.5"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196304","Water - Precipitation - unspecified (not reported)","1963-04-15","1963-04-01","1963-04-30","","","","","","","","","280","6.1","7.9"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196305","Water - Precipitation - unspecified (not reported)","1963-05-15","1963-05-01","1963-05-31","","","","","","","","","428","4.5","7.1"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196306","Water - Precipitation - unspecified (not reported)","1963-06-15","1963-06-01","1963-06-30","","","","","","","","","152","5.1","7.7"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196307","Water - Precipitation - unspecified (not reported)","1963-07-15","1963-07-01","1963-07-31","","","","","","","","","238","4.1","7.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196308","Water - Precipitation - unspecified (not reported)","1963-08-15","1963-08-01","1963-08-31","","","","","","","","","143","2.6","6"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196309","Water - Precipitation - unspecified (not reported)","1963-09-15","1963-09-01","1963-09-30","","","","","","","","","194","3.5","6.5"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196310","Water - Precipitation - unspecified (not reported)","1963-10-15","1963-10-01","1963-10-31","","","","","","","","","150","5.1","7.1"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196311","Water - Precipitation - unspecified (not reported)","1963-11-15","1963-11-01","1963-11-30","","","","","","","","","250","5.2","6.9"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196312","Water - Precipitation - unspecified (not reported)","1963-12-15","1963-12-01","1963-12-31","","","","","","","","","240","6.9","8.4"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196401","Water - Precipitation - unspecified (not reported)","1964-01-15","1964-01-01","1964-01-31","","","","","","","","","350","6.8","8.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196402","Water - Precipitation - unspecified (not reported)","1964-02-15","1964-02-01","1964-02-29","","","","","","","","","170","7.2","8.3"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196403","Water - Precipitation - unspecified (not reported)","1964-03-15","1964-03-01","1964-03-31","","-5.2","University of Copenhagen","-31.6","University of Copenhagen","","","","230","6.6","7.9"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196404","Water - Precipitation - unspecified (not reported)","1964-04-15","1964-04-01","1964-04-30","","-5.3","University of Copenhagen","-31","University of Copenhagen","","","","300","6.4","8.1"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196405","Water - Precipitation - unspecified (not reported)","1964-05-15","1964-05-01","1964-05-31","","-3.5","University of Copenhagen","-19.9","University of Copenhagen","","","","320","5.5","8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196406","Water - Precipitation - unspecified (not reported)","1964-06-15","1964-06-01","1964-06-30","","-7.4","University of Copenhagen","-49.6","University of Copenhagen","","","","284","3.8","6.8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196407","Water - Precipitation - unspecified (not reported)","1964-07-15","1964-07-01","1964-07-31","","-4.2","University of Copenhagen","-23.6","University of Copenhagen","","","","180","4.1","7.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196408","Water - Precipitation - unspecified (not reported)","1964-08-15","1964-08-01","1964-08-31","","-4.3","University of Copenhagen","-28","University of Copenhagen","","","","221","3.1","6.4"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196409","Water - Precipitation - unspecified (not reported)","1964-09-15","1964-09-01","1964-09-30","","-4","University of Copenhagen","-27.3","University of Copenhagen","","","","191","3.6","6.8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196410","Water - Precipitation - unspecified (not reported)","1964-10-15","1964-10-01","1964-10-31","","-6","University of Copenhagen","-41.6","University of Copenhagen","","","","150","4.2","6.8"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196411","Water - Precipitation - unspecified (not reported)","1964-11-15","1964-11-01","1964-11-30","","-5.7","University of Copenhagen","-41","University of Copenhagen","","","","293","4.3","6.9"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196412","Water - Precipitation - unspecified (not reported)","1964-12-15","1964-12-01","1964-12-31","","-5.3","University of Copenhagen","-39.1","University of Copenhagen","","","","195","5.3","7.2"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196501","Water - Precipitation - unspecified (not reported)","1965-01-15","1965-01-01","1965-01-31","","-4.6","University of Copenhagen","-37.2","University of Copenhagen","","","","285","6.9","8.3"
"GNIP","GNIP/M/ZA/02","MARION ISLAND (INDIAN O.)","ZA","6899400","-46.88","37.87","26","Precipitation collectors - unknown","[Partners: South African Weather Service; iThemba labs, Gauteng]","196502","Water - Precipitation - unspecified (not reported)","1965-02-15","1965-02-01","1965-02-28","","-5.1","University of Copenhagen","-28.6","University of Copenhagen","","","","317","6.8","8.2"
